"$IoNode";"$IoItem";"$Textkey";"$Class";"$Groupkey";"$Location";"$Active";"$Priority";"$LogEnabled";"$PlantID";"$PlantType";"$EquipmentID";"$Devicename";"Cfg_Inst_Structure"
"ESP-Core";".ESAlarms.General.FltBrkInf";"T02_PLCALS_0001";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkSig";"T02_PLCALS_0002";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrk230V";"T02_PLCALS_0003";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkSp1";"T02_PLCALS_0004";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkSp2";"T02_PLCALS_0005";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkSp3";"T02_PLCALS_0006";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkBus";"T02_PLCALS_0007";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkIO";"T02_PLCALS_0008";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkValve";"T02_PLCALS_0009";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkProp";"T02_PLCALS_0010";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkSp4";"T02_PLCALS_0011";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkSp5";"T02_PLCALS_0012";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkSp6";"T02_PLCALS_0013";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkSp7";"T02_PLCALS_0014";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltBrkSp8";"T02_PLCALS_0015";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltFuse";"T02_PLCALS_0016";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.EStopGen";"T02_PLCALS_0017";"03";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.EStopDesk";"T02_PLCALS_0018";"03";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.EStopSp1";"T02_PLCALS_0019";"03";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.EStopSp2";"T02_PLCALS_0020";"03";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.EStopSp3";"T02_PLCALS_0021";"03";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.Fire";"T02_PLCALS_0022";"03";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltAirConPS";"T02_PLCALS_0023";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltAirConLine";"T02_PLCALS_0024";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltWaste1Max";"T02_PLCALS_0025";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltWaste2Max";"T02_PLCALS_0026";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltWasteExt";"T02_PLCALS_0027";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSpare1";"T02_PLCALS_0028";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSpare2";"T02_PLCALS_0029";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltComPaintMix";"T02_PLCALS_0030";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltComPaintMan";"T02_PLCALS_0031";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltComStockMan";"T02_PLCALS_0032";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltComConv";"T02_PLCALS_0033";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltComMACC";"T02_PLCALS_0034";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltComRobAIR";"T02_PLCALS_0035";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltComRobESTA";"T02_PLCALS_0036";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltComSpare";"T02_PLCALS_0037";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltTypExt";"T02_PLCALS_0038";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltColExt";"T02_PLCALS_0039";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltColGrp";"T02_PLCALS_0040";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltRingPipe";"T02_PLCALS_0041";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltColValve";"T02_PLCALS_0042";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltInfo";"T02_PLCALS_0043";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltType";"T02_PLCALS_0044";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltColor";"T02_PLCALS_0045";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltPLCFan";"T02_PLCALS_0046";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltCabTemp";"T02_PLCALS_0047";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltVolDat";"T02_PLCALS_0048";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltCycAssPSDat";"T02_PLCALS_0049";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltCleanAssMLDat";"T02_PLCALS_0050";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltCycleDat";"T02_PLCALS_0051";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltColAssDat";"T02_PLCALS_0052";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltWasteDat";"T02_PLCALS_0053";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltTypAssDat";"T02_PLCALS_0054";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltScrapAssMLDat";"T02_PLCALS_0055";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltCycAssCChDat";"T02_PLCALS_0056";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltZoneParDat";"T02_PLCALS_0057";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSpareDat";"T02_PLCALS_0058";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSpare3";"T02_PLCALS_0059";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSpare4";"T02_PLCALS_0060";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltPLCBat";"T02_PLCALS_0061";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.WarnOptimize";"T02_PLCALS_0062";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.WarnFire";"T02_PLCALS_0063";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSpare5";"T02_PLCALS_0064";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSpare6";"T02_PLCALS_0065";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSpare7";"T02_PLCALS_0066";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltFieldBus";"T02_PLCALS_0067";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSpare8";"T02_PLCALS_0068";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltGeneral";"T02_PLCALS_0069";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltPnCab";"T02_PLCALS_0070";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltPnAppl1";"T02_PLCALS_0071";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltPnAppl2";"T02_PLCALS_0072";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltPnAppl3";"T02_PLCALS_0073";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltPnAppl4";"T02_PLCALS_0074";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltPnAppl5";"T02_PLCALS_0075";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltPnAppl6";"T02_PLCALS_0076";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltPnAppl7";"T02_PLCALS_0077";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltPnAppl8";"T02_PLCALS_0078";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltPnAppl9";"T02_PLCALS_0079";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltPnAppl10";"T02_PLCALS_0080";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltPnAppl11";"T02_PLCALS_0081";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltPnAppl12";"T02_PLCALS_0082";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltPnAppl13";"T02_PLCALS_0083";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltPnAppl14";"T02_PLCALS_0084";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltPnAppl15";"T02_PLCALS_0085";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltPnAppl16";"T02_PLCALS_0086";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltPnAppl17";"T02_PLCALS_0087";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltPnAppl18";"T02_PLCALS_0088";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltPnAppl19";"T02_PLCALS_0089";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltPnAppl20";"T02_PLCALS_0090";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSolvPrAppl1";"T02_PLCALS_0091";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSolvPrAppl2";"T02_PLCALS_0092";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSolvPrAppl3";"T02_PLCALS_0093";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSolvPrAppl4";"T02_PLCALS_0094";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSolvPrAppl5";"T02_PLCALS_0095";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSolvPrAppl6";"T02_PLCALS_0096";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSolvPrAppl7";"T02_PLCALS_0097";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSolvPrAppl8";"T02_PLCALS_0098";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSolvPrAppl9";"T02_PLCALS_0099";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSolvPrAppl10";"T02_PLCALS_0100";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSolvPrAppl11";"T02_PLCALS_0101";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSolvPrAppl12";"T02_PLCALS_0102";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSolvPrAppl13";"T02_PLCALS_0103";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSolvPrAppl14";"T02_PLCALS_0104";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSolvPrAppl15";"T02_PLCALS_0105";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSolvPrAppl16";"T02_PLCALS_0106";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSolvPrAppl17";"T02_PLCALS_0107";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSolvPrAppl18";"T02_PLCALS_0108";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSolvPrAppl19";"T02_PLCALS_0109";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltSolvPrAppl20";"T02_PLCALS_0110";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.General.FltPneumatic";"T02_PLCALS_0111";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.PS[1].General";"T02_PLCALS_0112";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.PS[1].WarnDisabled";"T02_PLCALS_0113";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.PS[1].ColCode";"T02_PLCALS_0114";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.PS[1].ColGroup";"T02_PLCALS_0115";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.PS[1].WasteLevel";"T02_PLCALS_0116";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
"ESP-Core";".ESAlarms.PS[1].Interlock_1";"T02_PLCALS_0117";"01";"ESP-Core";"";"1";"50";"1";"ESP-Core";" ";"PLC";"";"0"
